ID,Origen,Tecnico,Nombre_Tecnico,Email,Cuadrilla,Dia,Fecha,Destino,Region,Direccion,En_RM,Equipos,Tecnicos_En_Sitio,Tandas,Horas_Trabajo,Horas_Jornada,Horas_Extra,Costo_Horas_Extra,Conduccion_Dia,Conduccion_Por_Tecnico,Vehiculo,Conductor,Noches,Hotel_Zona,Hotel_Direccion,Km_Ida,Km_Dia,Viatico,Hotel_Monto,Peaje,Combustible,Gastos_Extra,Total_Transferencia,Estado,Observaciones,Foto_Instalacion,Firma_Cliente
ORD-001,CASO_1,T01,Alvaro Fuentes,t01@servicioenruta.cl,C1,D1,2026-09-21,Traslado a Copiapo,Atacama,"Chacabuco 546, Copiapo, Chile",No,0,2,0,0,8.89,0.49,4778,8.89,4.45,V1,Si,1,Centro de Copiapo,"Copiapo, Chile",0,800,25000,50000,25500,55240,0,155740,Pendiente,"Dia de traslado, sin instalacion",,
ORD-002,CASO_1,T02,Camila Rojas,t02@servicioenruta.cl,C1,D1,2026-09-21,Traslado a Copiapo,Atacama,"Chacabuco 546, Copiapo, Chile",No,0,2,0,0,8.89,0.49,4778,8.89,4.45,V1,No,1,Centro de Copiapo,"Copiapo, Chile",0,800,25000,50000,0,0,0,75000,Pendiente,"Dia de traslado, sin instalacion",,
ORD-003,CASO_1,T01,Alvaro Fuentes,t01@servicioenruta.cl,C1,D2,2026-09-22,Copiapo,Atacama,"Chacabuco 546, Copiapo, Chile",No,5,2,3,6.75,6.75,0,0,0,0,V1,No,1,Centro de Copiapo,"Copiapo, Chile",800,0,25000,50000,0,0,0,75000,Pendiente,,,
ORD-004,CASO_1,T02,Camila Rojas,t02@servicioenruta.cl,C1,D2,2026-09-22,Copiapo,Atacama,"Chacabuco 546, Copiapo, Chile",No,5,2,3,6.75,6.75,0,0,0,0,V1,Si,1,Centro de Copiapo,"Copiapo, Chile",800,0,25000,50000,0,0,0,75000,Pendiente,,,
ORD-005,CASO_1,T01,Alvaro Fuentes,t01@servicioenruta.cl,C1,D3,2026-09-23,Coquimbo,Coquimbo,"Bilbao 330, Coquimbo, Chile",No,2,2,1,2.25,5.92,0,0,3.67,1.84,V1,Si,1,Centro de Coquimbo,"Coquimbo, Chile",470,330,25000,50000,7400,22787,0,105187,Pendiente,,,
ORD-006,CASO_1,T02,Camila Rojas,t02@servicioenruta.cl,C1,D3,2026-09-23,Coquimbo,Coquimbo,"Bilbao 330, Coquimbo, Chile",No,2,2,1,2.25,5.92,0,0,3.67,1.84,V1,No,1,Centro de Coquimbo,"Coquimbo, Chile",470,330,25000,50000,0,0,0,75000,Pendiente,,,
ORD-007,CASO_1,T01,Alvaro Fuentes,t01@servicioenruta.cl,C1,D4,2026-09-24,La Calera,Valparaiso,"J. J. Perez 351, La Calera, Chile",No,1,2,1,2.25,7.47,0,0,5.22,2.61,V1,No,0,No aplica,,110,470,25000,0,0,0,0,25000,Pendiente,,,
ORD-008,CASO_1,T02,Camila Rojas,t02@servicioenruta.cl,C1,D4,2026-09-24,La Calera,Valparaiso,"J. J. Perez 351, La Calera, Chile",No,1,2,1,2.25,7.47,0,0,5.22,2.61,V1,Si,0,No aplica,,110,470,25000,0,18100,32454,0,75554,Pendiente,,,
ORD-009,CASO_1,T03,Diego Munoz,t03@servicioenruta.cl,C2,D1,2026-09-21,Curico,Maule,"Carmen 360, Curico, Chile",No,1,2,1,2.25,6.58,0,0,4.33,2.17,V2,Si,0,No aplica,,195,390,25000,0,15200,26930,0,67130,Pendiente,,,
ORD-010,CASO_1,T04,Javiera Soto,t04@servicioenruta.cl,C2,D1,2026-09-21,Curico,Maule,"Carmen 360, Curico, Chile",No,1,2,1,2.25,6.58,0,0,4.33,2.17,V2,No,0,No aplica,,195,390,25000,0,0,0,0,25000,Pendiente,,,
