Codigo,Nombre,Licencia_Conducir,Activo,Email,Telefono
T01,Alvaro Fuentes,Si,Si,t01@servicioenruta.cl,
T02,Camila Rojas,Si,Si,t02@servicioenruta.cl,
T03,Diego Munoz,Si,Si,t03@servicioenruta.cl,
T04,Javiera Soto,Si,Si,t04@servicioenruta.cl,
T05,Matias Contreras,Si,Si,t05@servicioenruta.cl,
T06,Fernanda Araya,Si,Si,t06@servicioenruta.cl,
T07,Cristian Vega,Si,Si,t07@servicioenruta.cl,
T08,Paulina Herrera,Si,Si,t08@servicioenruta.cl,
T09,Rodrigo Caceres,Si,Si,t09@servicioenruta.cl,
T10,Barbara Neira,Si,Si,t10@servicioenruta.cl,
